1 0.145148 -nan
2 0.155673 -nan
3 0.16696 -nan
4 0.179066 -nan
5 0.19205 -nan
6 0.205975 -nan
7 0.22091 -nan
8 0.236928 -nan
9 0.254107 -nan
10 0.272532 -nan
11 0.292293 -nan
12 0.313486 -nan
13 0.336216 -nan
14 0.360595 -nan
15 0.386741 -nan
16 0.414783 -nan
17 0.444858 -nan
18 0.477114 -nan
19 0.511709 -nan
20 0.548812 -nan
21 0.588605 -nan
22 0.631284 -nan
23 0.677057 -nan
24 0.726149 -nan
25 0.778801 -nan
26 0.83527 -nan
27 0.895834 -nan
28 0.960789 -nan
29 1.03045 -nan
30 1.10517 -nan
31 1.1853 -nan
32 1.27125 -nan
33 1.36343 -nan
34 1.46228 -nan
35 1.56831 -nan
36 1.68203 -nan
37 1.80399 -nan
38 1.93479 -nan
39 2.07508 -nan
40 2.22554 -nan
41 2.38691 -nan
42 2.55998 -nan
43 2.7456 -nan
44 2.94468 -nan
45 3.15819 -nan
46 3.38719 -nan
47 3.63279 -nan
48 3.89619 -nan
49 4.1787 -nan
50 4.48169 -nan
51 4.80665 -nan
52 5.15517 -nan
53 5.52896 -nan
54 5.92986 -nan
55 6.35982 -nan
56 6.82096 -nan
57 7.31553 -nan
58 7.84597 -nan
59 8.41487 -nan
60 9.02501 -nan
61 9.6794 -nan
62 10.3812 -nan
63 11.134 -nan
64 11.9413 -nan
65 12.8071 -nan
66 13.7357 -nan
67 14.7317 -nan
68 15.7998 -nan
69 16.9455 -nan
70 18.1741 -nan
71 19.4919 -nan
72 20.9052 -nan
73 22.421 -nan
74 24.0468 -nan
75 25.7903 -nan
76 27.6604 -nan
77 29.666 -nan
78 31.817 -nan
79 34.124 -nan
80 36.5982 -nan
81 39.2519 -nan
82 42.098 -nan
83 45.1504 -nan
84 48.4242 -nan
85 51.9354 -nan
86 55.7011 -nan
87 59.7399 -nan
88 64.0715 -nan
89 68.7172 -nan
90 73.6998 -nan
91 79.0436 -nan
92 84.7749 -nan
93 90.9218 -nan
94 97.5144 -nan
95 104.585 -nan
96 112.168 -nan
97 120.301 -nan
98 129.024 -nan
99 138.38 -nan
