0	1
0.1	2.0161
0.2	2.01448
0.3	1.9432
0.4	2.45024
0.5	3.08272
0.6	3.58057
0.7	3.62366
0.8	2.44622
0.9	1.7964
1	0.568401
1.1	0.425481
1.2	0.43339
1.3	0.676148
1.4	1.10505
1.5	1.08634
1.6	1.14484
1.7	0.718882
1.8	0.815232
1.9	0.69131
2	1.2204
2.1	1.281
2.2	1.15851
2.3	0.92081
2.4	0.564842
2.5	0.546523
2.6	0.32159
2.7	0.202335
2.8	0.126874
2.9	0.0982485
3	0.157296
3.1	0.197578
3.2	0.31637
3.3	0.16952
3.4	0.156131
3.5	0.152904
3.6	0.0894182
3.7	0.101575
3.8	0.115995
3.9	0.0768067
4	0.067193
4.1	0.0753515
4.2	0.0731671
4.3	0.0853936
4.4	0.0684351
4.5	0.0969624
4.6	0.108524
4.7	0.139975
4.8	0.160591
4.9	0.172738
5	0.286778
5.1	0.246749
5.2	0.229578
5.3	0.231433
5.4	0.215682
5.5	0.173877
5.6	0.191126
5.7	0.15068
5.8	0.121553
5.9	0.202991
6	0.190041
6.1	0.125466
6.2	0.178935
6.3	0.307508
6.4	0.359055
6.5	0.285367
6.6	0.274324
6.7	0.31076
6.8	0.689735
6.9	0.556444
7	0.475727
7.1	0.695516
7.2	0.50581
7.3	0.433269
7.4	0.225435
7.5	0.337387
7.6	0.483088
7.7	0.384667
7.8	0.539816
7.9	0.293211
8	0.571433
8.1	0.326348
8.2	0.389319
8.3	0.199023
8.4	0.240363
8.5	0.273771
8.6	0.412999
8.7	0.28095
8.8	0.496712
8.9	0.499072
9	0.694748
9.1	0.809078
9.2	0.451768
9.3	0.389294
9.4	0.352005
9.5	0.36529
9.6	0.589741
9.7	0.483059
9.8	0.433035
9.9	0.36973
10	0.291001
